timestamp,datapath_id,flow_id,ip_src,ip_dst,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,duration_nsec,byte_rate,packet_rate,label
1764246456.5894408,2,"(2, '10.0.0.4', '10.0.0.7', 1, 0, 0)",10.0.0.4,10.0.0.7,1,0,0,5,2950,0,503000000,0.0,0.0,control_traffic
1764246456.5896518,1,"(1, '10.0.0.5', '10.0.0.2', 6, 36362, 80)",10.0.0.5,10.0.0.2,6,36362,80,4,296,4,594000000,73.99999999999999,0.9999999999999998,web
1764246456.5896518,1,"(1, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,445,672840,4,592000000,145152.00000000003,96.00000000000003,voip
1764246456.5896518,1,"(1, '10.0.0.8', '10.0.0.4', 17, 45964, 5002)",10.0.0.8,10.0.0.4,17,45964,5002,434,656208,4,580000000,143640.0,95.0,voip
1764246456.5896518,1,"(1, '10.0.0.5', '10.0.0.2', 17, 38576, 5002)",10.0.0.5,10.0.0.2,17,38576,5002,172,260064,2,586000000,123984.0,82.0,voip
1764246456.5896518,1,"(1, '10.0.0.6', '10.0.0.4', 17, 55371, 5003)",10.0.0.6,10.0.0.4,17,55371,5003,1590,2404080,2,577000000,1149120.0,760.0,background
1764246456.5896518,1,"(1, '10.0.0.8', '10.0.0.1', 6, 35972, 80)",10.0.0.8,10.0.0.1,6,35972,80,2,148,2,574000000,74.0,1.0,web
1764246456.5896518,1,"(1, '10.0.0.6', '10.0.0.1', 17, 40907, 5003)",10.0.0.6,10.0.0.1,17,40907,5003,74,111888,0,553000000,0.0,0.0,background
1764246456.5896518,1,"(1, '10.0.0.7', '10.0.0.4', 17, 37599, 5002)",10.0.0.7,10.0.0.4,17,37599,5002,12,18144,0,549000000,0.0,0.0,voip
1764246456.5896518,1,"(1, '10.0.0.3', '10.0.0.6', 1, 0, 0)",10.0.0.3,10.0.0.6,1,0,0,7,4130,4,513000000,590.0,1.0,control_traffic
1764246456.5896518,1,"(1, '10.0.0.4', '10.0.0.8', 1, 0, 0)",10.0.0.4,10.0.0.8,1,0,0,7,4130,4,504000000,590.0000000000001,1.0000000000000002,control_traffic
1764246456.5896518,1,"(1, '10.0.0.2', '10.0.0.5', 1, 0, 0)",10.0.0.2,10.0.0.5,1,0,0,5,2950,2,495000000,1180.0,2.0,control_traffic
1764246456.5896518,1,"(1, '10.0.0.4', '10.0.0.7', 1, 0, 0)",10.0.0.4,10.0.0.7,1,0,0,2,1180,0,477000000,0.0,0.0,control_traffic
1764246458.586336,20,"(20, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,443,669816,6,573000000,755.244755244755,0.49950049950049935,voip
1764246458.586336,20,"(20, '10.0.0.8', '10.0.0.4', 17, 45964, 5002)",10.0.0.8,10.0.0.4,17,45964,5002,433,654696,6,566000000,755.2447552447553,0.4995004995004996,voip
1764246458.586336,20,"(20, '10.0.0.5', '10.0.0.2', 6, 36362, 80)",10.0.0.5,10.0.0.2,6,36362,80,328,944116,5,556000000,471475.52447552455,162.33766233766235,web
1764246458.586336,20,"(20, '10.0.0.5', '10.0.0.2', 17, 38576, 5002)",10.0.0.5,10.0.0.2,17,38576,5002,359,542808,4,568000000,142812.59370314848,94.45277361319343,voip
1764246458.586336,20,"(20, '10.0.0.6', '10.0.0.4', 17, 55371, 5003)",10.0.0.6,10.0.0.4,17,55371,5003,1775,2683800,4,560000000,142812.5937031484,94.45277361319339,background
1764246458.586336,20,"(20, '10.0.0.8', '10.0.0.1', 6, 35972, 80)",10.0.0.8,10.0.0.1,6,35972,80,3,222,3,507000000,73.9630184907546,0.9995002498750623,web
1764246458.586336,20,"(20, '10.0.0.7', '10.0.0.4', 17, 37599, 5002)",10.0.0.7,10.0.0.4,17,37599,5002,228,344736,2,539000000,165481.2593703148,109.44527736131933,voip
1764246458.586336,20,"(20, '10.0.0.6', '10.0.0.1', 17, 40907, 5003)",10.0.0.6,10.0.0.1,17,40907,5003,1432,2165184,2,539000000,1035202.3988005995,684.6576711644177,background
1764246458.586336,20,"(20, '10.0.0.2', '10.0.0.5', 6, 80, 36362)",10.0.0.2,10.0.0.5,6,80,36362,321,21230,2,485000000,10572.713643178411,159.92003998001002,web
1764246458.586336,20,"(20, '10.0.0.8', '10.0.0.1', 6, 35978, 80)",10.0.0.8,10.0.0.1,6,35978,80,1,74,1,523000000,0.0,0.0,web
1764246458.586336,20,"(20, '10.0.0.5', '10.0.0.4', 17, 59795, 5003)",10.0.0.5,10.0.0.4,17,59795,5003,107,161784,0,423000000,0.0,0.0,background
1764246458.586336,20,"(20, '10.0.0.1', '10.0.0.8', 6, 80, 35972)",10.0.0.1,10.0.0.8,6,80,35972,1,74,0,422000000,0.0,0.0,web
1764246458.586336,20,"(20, '10.0.0.6', '10.0.0.1', 17, 49911, 5002)",10.0.0.6,10.0.0.1,17,49911,5002,13,19656,0,397000000,0.0,0.0,voip
1764246458.586336,20,"(20, '10.0.0.7', '10.0.0.3', 17, 57014, 5003)",10.0.0.7,10.0.0.3,17,57014,5003,93,140616,0,390000000,0.0,0.0,background
1764246458.586336,20,"(20, '10.0.0.8', '10.0.0.3', 17, 53923, 5001)",10.0.0.8,10.0.0.3,17,53923,5001,145,219240,0,390000000,0.0,0.0,video
1764246458.586336,20,"(20, '10.0.0.3', '10.0.0.6', 1, 0, 0)",10.0.0.3,10.0.0.6,1,0,0,8,4720,6,528000000,0.0,0.0,control_traffic
1764246458.586336,20,"(20, '10.0.0.4', '10.0.0.8', 1, 0, 0)",10.0.0.4,10.0.0.8,1,0,0,8,4720,6,520000000,0.0,0.0,control_traffic
1764246458.586336,20,"(20, '10.0.0.2', '10.0.0.5', 1, 0, 0)",10.0.0.2,10.0.0.5,1,0,0,8,4720,4,514000000,589.7051474262868,0.9995002498750623,control_traffic
1764246458.586336,20,"(20, '10.0.0.4', '10.0.0.6', 1, 0, 0)",10.0.0.4,10.0.0.6,1,0,0,3,1770,3,534000000,589.7051474262869,0.9995002498750625,control_traffic
1764246458.586336,20,"(20, '10.0.0.1', '10.0.0.6', 1, 0, 0)",10.0.0.1,10.0.0.6,1,0,0,3,1770,2,503000000,589.7051474262868,0.9995002498750623,control_traffic
1764246458.586336,20,"(20, '10.0.0.4', '10.0.0.7', 1, 0, 0)",10.0.0.4,10.0.0.7,1,0,0,6,3540,2,490000000,884.5577211394301,1.4992503748125934,control_traffic
1764246458.586336,20,"(20, '10.0.0.3', '10.0.0.7', 1, 0, 0)",10.0.0.3,10.0.0.7,1,0,0,3,1770,0,360000000,0.0,0.0,control_traffic
1764246458.5911489,1,"(1, '10.0.0.5', '10.0.0.2', 6, 36362, 80)",10.0.0.5,10.0.0.2,6,36362,80,380,1093804,6,595000000,546480.75962019,187.9060469765118,web
1764246458.5911489,1,"(1, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,445,672840,6,593000000,0.0,0.0,voip
1764246458.5911489,1,"(1, '10.0.0.8', '10.0.0.4', 17, 45964, 5002)",10.0.0.8,10.0.0.4,17,45964,5002,435,657720,6,581000000,755.6221889055474,0.49975012493753135,voip
1764246458.5911489,1,"(1, '10.0.0.5', '10.0.0.2', 17, 38576, 5002)",10.0.0.5,10.0.0.2,17,38576,5002,360,544320,4,587000000,142056.97151424288,93.95302348825588,voip
1764246458.5911489,1,"(1, '10.0.0.6', '10.0.0.4', 17, 55371, 5003)",10.0.0.6,10.0.0.4,17,55371,5003,1778,2688336,4,578000000,142056.97151424285,93.95302348825585,background
1764246458.5911489,1,"(1, '10.0.0.8', '10.0.0.1', 6, 35972, 80)",10.0.0.8,10.0.0.1,6,35972,80,4,296,4,575000000,73.9630184907546,0.9995002498750623,web
1764246458.5911489,1,"(1, '10.0.0.6', '10.0.0.1', 17, 40907, 5003)",10.0.0.6,10.0.0.1,17,40907,5003,1467,2218104,2,554000000,1052581.7091454272,696.1519240379808,background
1764246458.5911489,1,"(1, '10.0.0.8', '10.0.0.1', 6, 35978, 80)",10.0.0.8,10.0.0.1,6,35978,80,2,148,2,551000000,73.9630184907546,0.9995002498750623,web
1764246458.5911489,1,"(1, '10.0.0.7', '10.0.0.4', 17, 37599, 5002)",10.0.0.7,10.0.0.4,17,37599,5002,259,391608,2,550000000,186638.68065967018,123.43828085957023,voip
1764246458.5911489,1,"(1, '10.0.0.2', '10.0.0.5', 6, 80, 36362)",10.0.0.2,10.0.0.5,6,80,36362,318,21024,2,458000000,10506.746626686654,158.92053973013492,web
1764246458.5911489,1,"(1, '10.0.0.5', '10.0.0.4', 17, 59795, 5003)",10.0.0.5,10.0.0.4,17,59795,5003,373,563976,0,547000000,0.0,0.0,background
1764246458.5911489,1,"(1, '10.0.0.6', '10.0.0.1', 17, 49911, 5002)",10.0.0.6,10.0.0.1,17,49911,5002,49,74088,0,542000000,0.0,0.0,voip
1764246458.5911489,1,"(1, '10.0.0.8', '10.0.0.3', 17, 53923, 5001)",10.0.0.8,10.0.0.3,17,53923,5001,586,886032,0,534000000,0.0,0.0,video
1764246458.5911489,1,"(1, '10.0.0.7', '10.0.0.3', 17, 57014, 5003)",10.0.0.7,10.0.0.3,17,57014,5003,361,545832,0,534000000,0.0,0.0,background
1764246458.5911489,1,"(1, '10.0.0.3', '10.0.0.6', 1, 0, 0)",10.0.0.3,10.0.0.6,1,0,0,7,4130,6,514000000,0.0,0.0,control_traffic
